census_tract,total_applications,approvals,approval_rate,denial_rate
51013100300,72,69,0.9583333333333334,0.04166666666666663
51013100400,41,39,0.9512195121951219,0.04878048780487809
51013100500,41,41,1.0,0.0
51013100600,35,33,0.9428571428571428,0.05714285714285716
51013100700,53,51,0.9622641509433962,0.037735849056603765
51013100800,18,18,1.0,0.0
51013100900,38,36,0.9473684210526315,0.052631578947368474
51013101000,26,24,0.9230769230769231,0.07692307692307687
51013101100,44,44,1.0,0.0
51013101200,34,31,0.9117647058823529,0.08823529411764708
51013101300,68,66,0.9705882352941176,0.02941176470588236
51013101401,13,12,0.9230769230769231,0.07692307692307687
51013101402,34,32,0.9411764705882353,0.05882352941176472
51013101405,22,22,1.0,0.0
51013101406,21,20,0.9523809523809523,0.04761904761904767
51013101407,10,10,1.0,0.0
51013101409,23,23,1.0,0.0
51013101501,31,29,0.9354838709677419,0.06451612903225812
51013101502,15,13,0.8666666666666667,0.1333333333333333
51013101503,10,10,1.0,0.0
51013101601,12,12,1.0,0.0
51013101602,27,26,0.9629629629629629,0.03703703703703709
51013101603,59,57,0.9661016949152542,0.03389830508474578
51013101701,26,26,1.0,0.0
51013101703,26,24,0.9230769230769231,0.07692307692307687
51013101704,26,20,0.7692307692307693,0.23076923076923073
51013101705,31,29,0.9354838709677419,0.06451612903225812
51013101801,37,37,1.0,0.0
51013101803,35,35,1.0,0.0
51013101804,10,10,1.0,0.0
51013101805,17,17,1.0,0.0
51013101900,23,23,1.0,0.0
51013102001,20,20,1.0,0.0
51013102002,4,4,1.0,0.0
51013102003,27,27,1.0,0.0
51013102100,19,18,0.9473684210526315,0.052631578947368474
51013102200,49,44,0.8979591836734694,0.10204081632653061
51013102301,27,25,0.9259259259259259,0.07407407407407407
51013102302,35,34,0.9714285714285714,0.02857142857142858
51013102400,26,25,0.9615384615384616,0.038461538461538436
51013102500,19,17,0.8947368421052632,0.10526315789473684
51013102600,21,21,1.0,0.0
51013102701,2,2,1.0,0.0
51013102702,24,23,0.9583333333333334,0.04166666666666663
51013102802,7,7,1.0,0.0
51013102803,56,54,0.9642857142857143,0.0357142857142857
51013102804,25,23,0.92,0.07999999999999996
51013102901,68,68,1.0,0.0
51013102903,49,47,0.9591836734693877,0.04081632653061229
51013102904,15,14,0.9333333333333333,0.06666666666666665
51013103000,71,70,0.9859154929577465,0.014084507042253502
51013103100,45,42,0.9333333333333333,0.06666666666666665
51013103200,48,43,0.8958333333333334,0.10416666666666663
51013103300,22,21,0.9545454545454546,0.045454545454545414
51013103403,21,20,0.9523809523809523,0.04761904761904767
51013103404,8,8,1.0,0.0
51013103405,5,4,0.8,0.19999999999999996
51013103501,46,43,0.9347826086956522,0.06521739130434778
51013103503,7,7,1.0,0.0
51013103505,7,7,1.0,0.0
51013103601,34,32,0.9411764705882353,0.05882352941176472
51013103700,30,28,0.9333333333333333,0.06666666666666665
51013103800,28,26,0.9285714285714286,0.0714285714285714
51043010101,98,94,0.9591836734693877,0.04081632653061229
51043010102,30,24,0.8,0.19999999999999996
51043010200,25,23,0.92,0.07999999999999996
51043010300,32,31,0.96875,0.03125
51047930101,48,44,0.9166666666666666,0.08333333333333337
51047930103,59,58,0.9830508474576272,0.016949152542372836
51047930104,150,144,0.96,0.040000000000000036
51047930202,69,64,0.927536231884058,0.07246376811594202
51047930203,81,66,0.8148148148148148,0.18518518518518523
51047930204,12,11,0.9166666666666666,0.08333333333333337
51047930300,65,61,0.9384615384615385,0.06153846153846154
51047930400,85,74,0.8705882352941177,0.12941176470588234
51047930501,60,58,0.9666666666666667,0.033333333333333326
51047930502,62,49,0.7903225806451613,0.20967741935483875
51059415100,45,45,1.0,0.0
51059415200,80,75,0.9375,0.0625
51059415300,52,44,0.8461538461538461,0.15384615384615385
51059415401,87,78,0.896551724137931,0.10344827586206895
51059415402,44,43,0.9772727272727273,0.022727272727272707
51059415500,68,66,0.9705882352941176,0.02941176470588236
51059415600,35,35,1.0,0.0
51059415700,33,32,0.9696969696969697,0.030303030303030276
51059415800,62,60,0.967741935483871,0.032258064516129004
51059415900,48,46,0.9583333333333334,0.04166666666666663
51059416000,52,49,0.9423076923076923,0.05769230769230771
51059416100,53,49,0.9245283018867925,0.07547169811320753
51059416200,1,1,1.0,0.0
